image,iou,precision,recall,f1,score
0.png,0.0007007217433956976,0.034482758620689655,0.0007147451933385748,0.0014004621525103283,0.21069233119487762
1 (3).png,0.058682455219965526,0.2773645058448459,0.06927364416526585,0.11085940818349142,0.25858357548713684
1_1_1_g (2).png,0.025128120350471152,0.21125781792911744,0.02772963604852686,0.04902435091114336,0.23072543740272522
1_1i_Ls_1.png,0.0,0.0,0.0,0.0,0.22984498739242554
1_1n_Ls_1.png,0.026858180264844083,0.5781609195402299,0.027395022057622134,0.05231137226353284,0.20199128985404968
1_1n_Ru_2.png,0.003515500159795462,0.1632047477744807,0.0035800299420686065,0.0070063694267515925,0.20579615235328674
1_1p_Lr_2.png,0.016324016324016324,0.986046511627907,0.016327788046826865,0.03212364573073718,0.13570405542850494
1_1p_Ls_1.png,0.0005281380200692448,0.375,0.0005286033125807588,0.0010557184750733136,0.18350106477737427
1_1p_Rl_2.png,0.10829940494832446,0.9885648942252716,0.10843524615867042,0.1954334802757997,0.18484732508659363
1_1p_Rs_2.png,0.055441055234954656,0.8217922606924644,0.056115708226131704,0.10505760593634057,0.11653809249401093
1_1p_Ru_1.png,0.005166008822846529,0.36929460580912865,0.0052119934410869055,0.010278916671478894,0.18688425421714783
