model,avg_iou,avg_precision,avg_recall,avg_f1
checkpoint_000.pth,0.027331236462607555,0.4368335474603759,0.02866476514473806,0.051322848184259924
checkpoint_001.pth,0.11955517482048603,0.29045038360590075,0.1521291772122248,0.19381621767920354
checkpoint_002.pth,0.15130947013231016,0.2098254313079953,0.2635070175159578,0.23234899648202376
checkpoint_003.pth,0.14403385680279993,0.3321555676211086,0.17290260437551824,0.22205448092303373
checkpoint_004.pth,0.18296156094100693,0.274827664314434,0.2462842448198966,0.2576616695172367
final_model.pth,0.18296156094100693,0.274827664314434,0.2462842448198966,0.2576616695172367
